type;id;size;wrappings
android;283;11;0
android;284;3;0
android;285;10;0
android;287;24;1
android;288;12;0
android;289;3;0
android;290;23;0
android;291;5;0
android;292;10;0
android;294;5;0
android;295;15;0
android;296;5;0
android;297;3;0
android;298;3;0
android;299;1;0
android;300;5;0
android;302;13;0
android;303;3;0
android;309;8;0
android;305;10;0
android;306;13;0
android;307;3;0
android;308;10;0
android;310;12;0
android;259;9;0
android;263;9;0
android;271;12;1
android;276;12;1
android;279;12;1
android;286;12;1
android;301;12;1
android;304;12;1
android;382;16;0
android;383;16;0
android;830;16;1
android;1704;13;1
android;1705;40;0
android;1706;29;0
android;1707;19;0
android;1708;5;0
android;1709;13;0
android;1140;24;0
android;3431;15;0
android;3745;5;0
android;3746;3;0
android;3747;15;0
android;3748;14;0
android;3749;4;0
android;3750;9;1
android;252;2;0
android;253;5;0
android;1764;18;1
android;1409;16;0
android;1410;2;0
android;1411;17;0
android;1412;17;0
android;1413;14;0
android;1414;6;0
android;1415;2;0
android;1416;2;0
android;1417;17;0
android;1418;12;0
android;220;13;0
android;221;24;0
android;222;24;1
android;223;13;0
android;224;33;0
android;225;26;2
android;226;2;0
android;227;3;0
android;228;5;2
android;219;25;1
android;1265;2;0
android;1266;4;0
android;1267;56;0
android;1264;14;0
android;1261;16;0
android;1262;47;0
android;1263;43;0
android;721;12;0
android;1783;2;0
android;1766;20;2
android;1767;3;0
android;2519;1;0
android;2518;1;0
android;1329;14;1
android;1330;15;0
android;3478;19;0
android;3479;89;0
android;3480;17;1
android;3481;32;3
android;3482;87;0
android;3483;14;1
android;3484;17;1
android;3485;3;0
android;3486;14;1
android;3487;14;1
android;3488;35;1
android;384;2;0
android;385;5;0
android;718;5;0
android;712;9;0
android;713;17;1
android;714;14;0
android;715;8;0
android;717;7;0
android;716;49;2
android;711;48;1
android;2345;14;0
android;2346;17;0
android;2347;23;0
android;2825;16;2
android;1689;12;1
android;1137;1;0
android;1138;32;3
android;3769;20;1
android;3856;53;3
android;3857;17;1
android;3858;13;0
android;3859;15;1
android;1165;4;0
android;1166;35;0
android;1164;6;0
android;1167;4;0
android;1278;25;1
android;1279;27;1
android;3507;19;1
android;1537;19;0
android;1538;31;3
android;4126;1;0
android;1665;13;0
android;1666;16;0
android;1667;11;0
android;1668;34;0
android;2106;19;0
android;3861;6;1
android;3359;1;0
android;3355;3;0
android;3356;3;0
android;3357;15;0
android;3358;24;1
android;3360;3;0
android;3361;3;0
android;3362;3;0
android;3363;3;0
android;3364;3;0
android;3365;30;1
android;3367;16;1
android;3368;1;0
android;3369;17;1
android;3370;3;0
android;3371;3;0
android;3372;1;0
android;3373;17;1
android;3374;3;0
android;3366;7;1
android;531;11;0
android;532;10;0
android;530;6;0
android;534;23;0
android;535;57;0
android;536;1;0
android;537;10;0
android;538;31;1
android;539;6;0
android;540;54;0
android;541;10;0
android;544;27;2
android;545;20;1
android;547;40;0
android;546;1;0
android;548;15;0
android;550;20;0
android;551;10;0
android;552;5;0
android;553;40;2
android;554;13;0
android;555;11;0
android;556;13;1
android;557;4;0
android;558;31;1
android;561;13;0
android;562;13;1
android;563;13;0
android;559;8;1
android;565;11;0
android;566;5;0
android;567;10;0
android;568;1;0
android;569;10;0
android;570;6;0
android;572;19;1
android;573;31;1
android;574;10;0
android;575;15;1
android;576;40;0
android;577;10;0
android;578;11;0
android;579;18;0
android;580;4;0
android;582;11;0
android;583;1;0
android;584;6;0
android;585;1;0
android;586;18;0
android;587;10;0
android;588;10;0
android;589;10;0
android;590;23;1
android;591;13;1
android;592;13;0
android;593;37;0
android;595;11;0
android;596;38;0
android;598;38;0
android;600;8;0
android;602;36;0
android;603;5;0
android;604;34;3
android;605;19;0
android;606;10;0
android;607;18;0
android;608;23;1
android;609;11;0
android;610;11;0
android;611;37;0
android;560;10;2
android;581;11;2
android;599;11;2
android;549;1;0
android;597;8;1
android;543;24;2
android;594;20;1
android;564;21;2
android;533;6;1
android;601;27;2
android;571;27;2
android;542;30;3
android;3782;15;0
android;3783;15;0
android;1753;17;1
android;1754;33;3
android;1367;24;0
android;1368;15;0
android;1369;15;0
android;1372;26;0
android;1373;15;0
android;1375;15;1
android;1376;25;1
android;1378;14;0
android;1379;19;0
android;1370;55;2
android;1374;56;3
android;1377;54;0
android;1371;54;1
android;123;15;0
android;2198;24;2
android;3603;13;1
android;3604;12;0
android;3605;15;0
android;3606;5;1
android;3607;12;0
android;3767;2;0
android;1885;52;0
android;1780;21;0
android;2823;10;0
android;2824;10;0
android;528;11;0
android;1656;29;2
android;1657;24;0
android;1658;21;0
android;1659;29;2
android;1660;12;0
android;1661;9;0
android;1662;24;0
android;1663;21;0
android;3853;14;1
android;201;14;0
android;172;8;0
android;174;2;0
android;175;4;0
android;176;9;0
android;177;9;1
android;178;9;0
android;179;12;0
android;180;5;0
android;181;5;1
android;182;4;0
android;183;8;2
android;184;14;0
android;185;5;1
android;186;13;1
android;187;10;1
android;188;6;1
android;189;9;0
android;190;5;1
android;192;9;0
android;193;5;1
android;194;14;0
android;195;6;1
android;196;6;0
android;197;9;0
android;198;14;1
android;199;6;0
android;200;10;1
android;202;4;0
android;203;14;1
android;205;10;1
android;206;7;1
android;173;9;0
android;191;23;1
android;207;9;0
android;204;6;1
android;1650;17;0
android;1421;15;1
android;1422;15;1
android;1423;57;1
android;1424;38;3
android;1425;43;0
android;1426;22;2
android;1428;1;1
android;1429;19;1
android;1427;25;1
android;2303;37;2
android;2304;13;0
android;2305;40;2
android;1649;17;2
android;1620;20;1
android;1621;1;0
android;1616;18;0
android;1617;1;0
android;1623;17;0
android;1624;17;2
android;1626;19;0
android;1627;1;0
android;1631;15;0
android;1632;18;1
android;1633;13;0
android;1634;1;0
android;1637;16;1
android;1638;21;0
android;1639;9;0
android;1640;16;1
android;1641;14;0
android;1642;2;0
android;1643;12;0
android;1644;10;0
android;1646;14;1
android;1647;18;1
android;1619;6;1
android;1613;16;1
android;1614;16;1
android;1615;6;1
android;1618;13;1
android;1622;6;1
android;1625;16;1
android;1628;6;1
android;1629;6;1
android;1630;6;1
android;1635;6;1
android;1636;18;1
android;1648;6;1
android;1645;16;1
android;2193;3;0
android;2192;5;0
android;2187;3;0
android;2188;1;0
android;2189;2;0
android;2190;2;0
android;2191;9;0
android;661;5;0
android;662;2;0
android;654;12;1
android;655;23;1
android;656;10;0
android;657;10;0
android;658;5;0
android;659;5;0
android;660;5;0
android;663;17;1
android;664;17;1
android;665;25;1
android;3502;20;1
android;3503;14;0
android;621;13;1
android;615;21;0
android;616;21;0
android;617;16;1
android;618;21;0
android;619;22;0
android;620;19;0
android;622;15;1
android;623;15;0
android;624;23;0
android;625;19;0
android;626;14;1
android;627;16;2
android;628;30;0
android;629;15;1
android;630;16;1
android;2437;7;1
android;2813;1;0
android;2814;1;0
android;2815;42;0
android;1699;27;2
android;1700;5;0
android;1701;19;1
android;2352;15;0
android;2351;1;0
android;3870;5;0
android;3869;7;0
android;3784;22;0
android;3785;16;0
android;3867;49;0
android;3868;49;0
android;365;9;1
android;1831;13;0
android;1832;23;3
android;1833;4;1
android;1834;31;3
android;1835;11;0
android;2;13;0
android;3;10;0
android;1;13;1
android;4;13;1
android;524;37;2
android;525;19;0
android;526;16;1
android;523;23;1
android;2527;17;0
android;2528;9;0
android;2529;23;0
android;2530;41;0
android;2531;13;1
android;2532;8;0
android;2545;17;0
android;2533;22;0
android;2534;15;0
android;2536;29;1
android;2559;9;0
android;2537;21;1
android;2538;16;0
android;2539;56;0
android;2540;12;1
android;2541;15;0
android;2542;13;0
android;2543;13;1
android;2544;16;1
android;2574;3;0
android;2546;16;0
android;2547;13;1
android;2548;20;0
android;2549;15;0
android;2550;19;1
android;2551;19;0
android;2552;12;0
android;2553;15;0
android;2554;18;0
android;2555;18;0
android;2556;14;0
android;2557;17;1
android;2558;12;0
android;2560;14;0
android;2561;14;0
android;2562;25;0
android;2563;15;0
android;2564;26;0
android;2565;19;1
android;2566;9;0
android;2567;20;0
android;2568;33;0
android;2569;12;0
android;2570;16;0
android;2571;17;1
android;2572;25;0
android;2573;20;1
android;2575;16;0
android;2535;21;1
android;3313;13;0
android;3315;9;0
android;3316;9;0
android;1407;6;0
android;1408;16;0
android;2432;29;0
android;2433;30;0
android;2434;10;0
android;2435;30;0
android;2436;33;3
android;2911;3;0
android;2912;7;0
android;2914;4;0
android;2910;15;1
android;2915;9;0
android;2917;13;0
android;2918;19;1
android;2919;12;0
android;2920;8;0
android;2921;7;0
android;2922;6;0
android;2923;8;0
android;2924;7;0
android;2925;13;0
android;2926;7;0
android;2927;6;0
android;2928;5;0
android;2929;8;0
android;2930;7;0
android;2932;31;0
android;2933;5;0
android;2934;10;0
android;2936;12;0
android;2938;11;0
android;2943;7;0
android;2939;11;0
android;2940;5;0
android;2942;5;0
android;2944;9;0
android;2945;13;0
android;2946;7;0
android;2941;9;1
android;2913;7;0
android;2931;13;1
android;2947;51;0
android;2916;15;1
android;2937;8;1
android;2935;59;0
android;638;11;0
android;639;8;0
android;1755;6;0
android;1756;26;2
android;1757;23;0
android;1758;40;0
android;1759;7;0
android;2393;18;1
android;831;17;1
android;2826;3;0
android;2827;19;1
android;2828;7;1
android;2829;26;1
android;2830;14;1
android;2831;6;0
android;122;7;0
android;217;3;0
android;218;5;0
android;216;17;1
android;208;5;0
android;209;6;0
android;210;17;1
android;211;10;0
android;212;27;0
android;213;4;1
android;214;27;0
android;215;10;0
android;3788;1;0
android;3789;1;0
android;3786;18;2
android;3787;4;1
android;457;9;0
android;458;8;0
android;459;9;0
android;460;9;0
android;461;11;0
android;462;9;0
android;463;9;0
android;464;12;0
android;465;12;0
android;466;9;0
android;467;9;0
android;468;9;0
android;469;11;0
android;470;13;1
android;471;9;0
android;472;9;0
android;473;9;0
android;474;9;0
android;475;9;0
android;476;9;0
android;477;9;0
android;478;9;0
android;479;9;0
android;3340;6;0
android;229;11;0
android;230;13;1
android;231;8;2
android;22;20;0
android;2491;18;1
android;2492;9;0
android;2493;18;0
android;2494;9;0
android;2495;9;0
android;2496;13;0
android;2497;25;1
android;346;1;1
android;1500;26;1
android;1501;18;0
android;2069;13;0
android;2070;15;0
android;631;55;0
android;632;56;1
android;1876;12;0
android;1877;14;0
android;726;33;1
android;727;154;2
android;724;31;1
android;725;19;0
android;728;11;1
android;729;25;0
android;730;25;0
android;731;11;1
android;732;25;0
android;753;22;0
android;1760;20;0
android;1761;20;0
android;1762;5;0
android;3335;6;0
android;1219;12;0
android;1220;12;0
android;1222;5;0
android;1223;4;0
android;1224;13;0
android;1225;13;0
android;1226;2;0
android;1221;13;1
android;4037;8;0
android;4038;21;0
android;2808;31;1
android;2809;33;1
android;2810;30;1
android;2811;25;1
android;2812;18;0
android;1890;15;1
android;1891;44;1
android;1892;16;1
android;1893;13;0
android;361;26;0
android;362;14;0
android;2673;42;0
android;2722;1;0
android;2749;2;0
android;2755;8;0
android;2756;1;0
android;2668;15;0
android;2672;38;0
android;2670;1;0
android;2671;26;2
android;2674;10;0
android;2675;16;0
android;2676;19;0
android;2677;13;0
android;2678;44;0
android;2679;37;3
android;2680;38;0
android;2681;29;0
android;2682;9;0
android;2690;18;0
android;2683;40;1
android;2685;14;0
android;2687;16;1
android;2688;11;0
android;2686;1;0
android;2691;13;0
android;2692;16;1
android;2693;38;0
android;2694;8;0
android;2700;36;0
android;2695;17;0
android;2696;36;0
android;2697;15;0
android;2699;24;1
android;2701;12;0
android;2702;24;1
android;2703;1;0
android;2704;13;0
android;2705;36;0
android;2706;14;1
android;2707;2;0
android;2708;38;0
android;2709;6;0
android;2710;44;0
android;2711;8;0
android;2712;8;0
android;2713;7;0
android;2715;8;0
android;2716;15;1
android;2717;2;0
android;2718;17;0
android;2719;16;1
android;2720;9;1
android;2723;17;1
android;2724;13;0
android;2725;16;0
android;2726;1;0
android;2727;38;0
android;2728;9;1
android;2729;21;2
android;2730;20;1
android;2731;13;0
android;2732;9;1
android;2733;15;0
android;2734;9;0
android;2736;2;0
android;2737;20;0
android;2738;36;0
android;2740;29;0
android;2741;38;0
android;2742;16;1
android;2757;15;0
android;2743;14;0
android;2744;15;0
android;2745;10;0
android;2746;36;0
android;2747;2;0
android;2748;1;0
android;2750;13;1
android;2751;38;0
android;2752;41;0
android;2753;15;1
android;2754;25;0
android;2758;29;0
android;2759;36;0
android;2760;12;0
android;2761;24;1
android;2762;15;1
android;2763;14;0
android;2764;11;0
android;2765;18;0
android;2766;5;0
android;2767;38;0
android;2768;36;0
android;2769;9;0
android;2770;17;1
android;2771;18;0
android;2772;19;1
android;2773;44;0
android;2774;16;1
android;2775;3;1
android;2776;7;0
android;2777;13;0
android;2778;36;0
android;2779;36;0
android;2781;15;0
android;2782;19;0
android;2783;20;1
android;2784;38;0
android;2785;38;0
android;2786;36;0
android;2787;9;0
android;2788;38;0
android;2789;15;0
android;2790;16;1
android;2791;12;0
android;2793;10;0
android;2794;38;0
android;2795;13;0
android;2798;35;0
android;2799;12;0
android;2800;15;1
android;2801;14;0
android;2802;13;0
android;2735;25;1
android;2698;18;1
android;2689;1;0
android;2714;26;2
android;2796;24;1
android;2684;47;1
android;2780;24;1
android;2739;25;1
android;2797;26;1
android;2669;26;1
android;2721;26;1
android;2792;26;1
android;1781;27;0
android;2162;1;0
android;1437;22;3
android;163;2;0
android;164;14;1
android;411;20;0
android;412;5;0
android;413;7;0
android;414;6;0
android;415;34;0
android;416;5;0
android;417;7;0
android;419;59;1
android;418;41;0
android;250;15;0
android;251;20;1
android;2378;38;0
android;2379;54;0
android;2380;72;0
android;2381;3;0
android;2382;2;0
android;2383;1;0
android;2384;3;0
android;2385;40;0
android;2386;71;0
android;2387;55;0
android;3422;28;0
android;2263;4;0
android;2264;3;0
android;2265;1;0
android;2238;4;0
android;2298;1;0
android;2211;5;0
android;2212;1;0
android;2213;2;0
android;2214;5;0
android;2215;3;0
android;2216;4;0
android;2217;6;0
android;2218;5;0
android;2219;4;0
android;2220;8;0
android;2221;4;0
android;2261;5;0
android;2222;10;0
android;2223;5;0
android;2224;8;0
android;2225;3;0
android;2226;3;0
android;2227;8;0
android;2228;4;0
android;2229;6;0
android;2230;7;0
android;2231;4;0
android;2232;4;0
android;2233;10;0
android;2234;17;0
android;2235;2;0
android;2236;16;1
android;2237;12;0
android;2239;10;0
android;2240;3;0
android;2241;4;0
android;2242;15;0
android;2243;15;0
android;2244;7;0
android;2245;10;0
android;2246;4;0
android;2247;4;0
android;2248;10;0
android;2249;5;0
android;2250;21;0
android;2251;5;0
android;2252;10;0
android;2253;4;0
android;2254;3;0
android;2262;5;0
android;2255;8;0
android;2256;9;0
android;2257;3;0
android;2258;3;0
android;2259;9;0
android;2260;5;0
android;2266;9;0
android;2267;7;0
android;2268;14;0
android;2269;5;0
android;2270;5;0
android;2271;9;0
android;2272;5;0
android;2273;5;0
android;2274;6;0
android;2275;5;0
android;2276;4;0
android;2278;4;0
android;2279;10;0
android;2280;16;1
android;2281;9;0
android;2282;5;0
android;2283;13;0
android;2284;3;0
android;2285;3;0
android;2286;18;0
android;2287;5;0
android;2288;5;0
android;2289;5;0
android;2290;5;0
android;2291;13;0
android;2292;5;0
android;2293;7;0
android;2294;10;0
android;2295;17;1
android;2296;7;0
android;2297;6;0
android;2299;38;0
android;2300;6;0
android;2301;11;0
android;2302;10;1
android;2277;11;1
android;1606;14;0
android;2112;35;1
android;2113;34;1
android;2114;34;0
android;2115;26;1
android;2116;11;1
android;2498;25;1
android;2499;27;0
android;2500;25;0
android;2501;24;0
android;2502;25;1
android;2503;40;0
android;4042;1;0
android;1210;16;0
android;1211;16;0
android;1206;6;0
android;1207;9;0
android;1208;20;1
android;1209;5;0
android;1212;11;0
android;1213;9;1
android;1568;9;0
android;1569;20;2
android;1570;17;1
android;1571;10;0
android;1572;9;0
android;1573;14;0
android;1575;61;0
android;1574;27;1
android;2411;20;1
android;3305;7;0
android;1141;17;0
android;1142;10;0
android;1143;14;0
android;1144;13;0
android;1145;10;0
android;1146;20;0
android;1147;10;0
android;1148;11;0
android;1149;22;2
android;1150;10;0
android;1151;11;0
android;1152;20;0
android;1153;13;0
android;1154;10;0
android;1155;15;0
android;1156;21;1
android;1157;17;0
android;1158;17;0
android;1159;10;0
android;1160;10;0
android;1161;16;1
android;1162;20;0
android;1282;10;0
android;1283;10;0
android;1280;14;1
android;1281;12;1
android;161;15;1
android;162;15;1
android;128;18;1
android;129;15;1
android;130;14;1
android;131;7;0
android;132;11;1
android;133;13;1
android;134;18;1
android;135;19;1
android;136;11;1
android;137;7;0
android;1242;1;0
android;1227;11;0
android;1228;4;0
android;1229;1;0
android;1230;27;0
android;1231;5;0
android;1232;15;1
android;1233;59;0
android;1234;2;0
android;1235;1;0
android;1236;31;0
android;1237;62;0
android;1238;1;0
android;1239;15;1
android;1240;6;1
android;1241;3;0
android;1243;10;0
android;1244;2;0
android;1245;8;0
android;1246;13;1
android;1247;4;1
android;1248;19;1
android;1249;10;0
android;1250;9;0
android;1251;20;0
android;1252;14;0
android;1253;1;0
android;1254;10;1
android;1255;17;1
android;1256;8;0
android;1257;45;0
android;1258;18;1
android;1259;43;0
android;1260;20;1
android;1886;8;0
android;1887;10;0
android;1888;15;0
android;1889;10;0
android;3304;3;0
android;171;25;0
android;1388;4;0
android;1385;11;0
android;1386;4;0
android;1387;14;0
android;1384;26;1
android;124;8;0
android;125;3;0
android;1277;5;1
android;3354;9;0
android;3753;25;2
android;1133;5;0
android;1431;10;0
android;1432;10;0
android;1433;34;1
android;1434;19;0
android;1435;19;1
android;1577;24;1
android;1578;11;0
android;1579;15;0
android;1580;46;0
android;1582;8;0
android;1583;9;0
android;1584;19;1
android;1585;17;0
android;1586;10;0
android;1587;27;1
android;1588;13;1
android;1589;12;0
android;1590;57;0
android;1591;23;1
android;1592;8;0
android;1593;13;1
android;1594;33;0
android;1595;9;0
android;1596;3;1
android;1581;10;0
android;2508;60;0
android;2509;6;0
android;2510;60;0
android;2512;28;1
android;2513;18;0
android;2514;5;0
android;2515;45;0
android;2516;6;0
android;2517;16;0
android;2511;3;1
android;2154;2;0
android;2146;28;0
android;2147;27;0
android;2152;38;0
android;2148;23;0
android;2149;79;0
android;2150;20;1
android;2151;27;2
android;2153;53;2
android;2155;51;0
android;2156;8;0
android;2157;34;0
android;2158;22;2
android;2159;26;0
android;2160;34;0
android;2161;2;0
android;1291;46;0
android;1292;1;0
android;1293;5;0
android;1294;29;1
android;1295;5;1
android;2077;23;0
android;2076;9;1
android;2858;20;0
android;2859;14;0
android;2860;21;0
android;2861;18;0
android;2862;16;1
android;2167;20;1
android;485;11;0
android;486;2;0
android;487;37;0
android;3405;2;0
android;3404;29;3
android;3406;47;0
android;3407;3;0
android;3408;36;0
android;3409;33;0
android;3410;7;1
android;3411;30;1
android;3455;5;0
android;3456;8;1
android;3457;24;1
android;2316;158;0
android;2317;19;1
android;2169;23;0
android;2170;6;0
android;2168;15;1
android;2172;6;0
android;2173;6;0
android;2174;6;0
android;2176;1;0
android;2171;23;1
android;2175;26;2
android;517;31;0
android;1324;18;1
android;1325;19;0
android;3504;23;1
android;1331;6;0
android;1332;14;0
android;2418;14;1
android;2816;19;1
android;2817;30;1
android;367;18;1
android;368;21;1
android;369;18;0
android;370;18;1
android;371;10;0
android;2395;9;0
android;1867;15;0
android;1837;13;0
android;1838;9;0
android;1839;3;0
android;1840;18;0
android;1841;6;0
android;1842;16;0
android;1843;9;0
android;1844;8;0
android;1845;20;0
android;1861;1;0
android;1846;9;0
android;1847;9;0
android;1848;9;0
android;1849;9;0
android;1850;17;0
android;1851;20;0
android;1852;9;0
android;1853;16;1
android;1854;16;0
android;1855;9;0
android;1856;49;0
android;1857;7;0
android;1858;11;0
android;1859;15;0
android;1860;14;0
android;1862;8;0
android;1863;9;0
android;1864;49;0
android;1865;10;0
android;1866;9;0
android;1868;15;0
android;1869;9;0
android;1870;9;0
android;1871;56;0
android;1872;14;0
android;3307;2;0
android;3308;20;1
android;3309;16;1
android;633;15;1
android;635;18;0
android;636;19;0
android;637;19;0
android;634;26;2
android;1129;17;0
android;2431;14;0
android;2424;15;0
android;2425;16;0
android;2426;20;0
android;2428;23;0
android;2429;22;0
android;2430;23;0
android;2427;16;0
android;3489;1;0
android;3490;1;0
android;3491;26;0
android;3492;14;0
android;3493;4;0
android;3494;12;1
android;3495;15;0
android;3496;15;0
android;3497;7;1
android;3498;3;0
android;3499;16;1
android;3500;18;0
android;1126;4;1
android;1127;2;0
android;1128;5;0
android;2593;32;1
android;2584;3;0
android;2586;9;0
android;2587;6;0
android;2588;10;0
android;2589;9;0
android;2591;11;1
android;2592;32;1
android;2595;21;1
android;2597;13;0
android;2598;6;0
android;2599;6;0
android;2596;3;0
android;2594;2;0
android;2590;2;0
android;2585;11;1
android;3608;14;1
android;3609;16;0
android;3610;36;0
android;3611;12;0
android;3612;15;1
android;3613;17;0
android;3790;23;0
android;4140;24;0
android;4203;37;1
android;4139;41;1
android;4127;4;0
android;4128;1;0
android;4129;18;1
android;4130;7;0
android;4131;4;0
android;4132;37;0
android;4133;23;2
android;4134;3;0
android;4135;10;0
android;4136;23;0
android;4137;40;0
android;4138;23;0
android;4141;6;0
android;4142;15;0
android;4143;6;0
android;4144;1;0
android;4145;10;1
android;4146;11;0
android;4147;5;0
android;4148;10;0
android;4149;8;0
android;4150;33;0
android;4151;1;0
android;4152;10;0
android;4153;16;0
android;4154;6;0
android;4155;28;0
android;4156;16;0
android;4157;9;0
android;4158;11;0
android;4159;13;0
android;4160;17;1
android;4161;10;1
android;4162;25;2
android;4163;10;0
android;4164;23;0
android;4165;6;0
android;4166;4;0
android;4167;9;0
android;4168;11;0
android;4169;9;0
android;4170;11;1
android;4171;4;0
android;4172;12;1
android;4173;13;0
android;4174;7;0
android;4175;15;0
android;4176;47;0
android;4177;11;0
android;4178;6;0
android;4179;23;1
android;4180;11;0
android;4181;6;0
android;4182;6;0
android;4183;10;0
android;4184;10;1
android;4185;36;0
android;4186;17;0
android;4204;9;0
android;4187;24;2
android;4188;12;0
android;4189;10;0
android;4190;15;1
android;4191;9;0
android;4192;37;3
android;4193;15;1
android;4194;48;1
android;4195;10;0
android;4196;14;0
android;4197;38;1
android;4198;10;1
android;4199;8;0
android;4200;24;1
android;4201;10;1
android;4202;10;1
android;4205;16;1
android;4206;16;0
android;4207;7;0
android;4208;8;0
android;1119;13;0
android;1120;17;0
android;1121;12;0
android;1122;5;0
android;1123;14;0
android;1124;25;0
android;1125;5;0
android;1696;4;0
android;169;15;1
android;170;24;0
android;1651;20;1
android;1652;4;0
android;2086;12;0
android;2578;14;0
android;2318;15;0
android;2319;20;1
android;2320;15;0
android;2321;26;0
android;2322;14;1
android;3403;38;0
android;1716;25;4
android;2443;23;0
android;2442;15;0
android;2444;7;0
android;2445;14;0
android;2446;3;0
android;2447;19;0
android;2448;23;0
android;2449;2;0
android;2450;4;0
android;2452;26;1
android;2453;3;0
android;2454;14;0
android;2469;7;0
android;2455;8;0
android;2456;23;0
android;2457;15;0
android;2458;16;1
android;2475;3;0
android;2459;7;0
android;2460;13;1
android;2461;13;1
android;2462;13;0
android;2463;13;0
android;2464;14;0
android;2465;18;0
android;2466;19;0
android;2467;19;0
android;2468;10;0
android;2470;11;0
android;2471;21;0
android;2472;13;1
android;2473;23;0
android;2474;19;0
android;2476;19;0
android;2477;18;0
android;2478;1;1
android;2479;16;0
android;2480;23;0
android;2481;23;0
android;2483;12;0
android;2484;16;0
android;2485;5;0
android;2486;8;0
android;2487;13;1
android;2488;13;1
android;2489;7;0
android;2490;8;0
android;2451;3;0
android;2482;23;2
android;2841;20;1
android;2843;32;0
android;2844;11;0
android;2840;1;0
android;2845;11;0
android;2847;8;0
android;2848;5;1
android;2850;6;1
android;2851;8;0
android;2852;4;0
android;2853;8;0
android;2854;19;0
android;2842;32;4
android;2839;8;1
android;2846;15;1
android;2849;2;0
android;3721;13;0
android;3344;6;0
android;3345;2;1
android;3346;2;1
android;3347;2;1
android;3348;6;0
android;3349;18;0
android;4044;5;0
android;4045;9;0
android;4046;8;0
android;4047;14;0
android;4048;13;0
android;2807;19;0
android;2185;16;1
android;2186;42;0
android;3423;27;2
android;3424;27;0
android;3425;38;0
android;3426;27;2
android;3427;38;0
android;3428;25;1
android;3557;14;0
android;3518;1;0
android;3516;1;0
android;3517;7;0
android;3519;21;0
android;3520;20;0
android;3521;9;0
android;3522;21;0
android;3523;21;0
android;3524;28;1
android;3525;12;1
android;3526;2;0
android;3527;6;0
android;3528;10;0
android;3534;13;0
android;3529;10;0
android;3530;20;0
android;3531;9;0
android;3532;15;0
android;3533;26;1
android;3535;19;0
android;3536;7;0
android;3537;10;0
android;3538;9;0
android;3539;21;0
android;3540;21;0
android;3541;28;1
android;3542;18;0
android;3543;9;0
android;3544;19;1
android;3545;4;0
android;3546;28;1
android;3547;28;1
android;3548;21;0
android;3549;10;0
android;3550;11;0
android;3551;9;0
android;3552;12;0
android;3553;11;0
android;3554;2;0
android;3555;9;0
android;3556;21;0
android;3558;21;0
android;3559;10;0
android;3560;8;0
android;3561;21;0
